objectid,filename,youtubeid,vimeoid,title,creator,date,description,Mode,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,Tune,Genre,Mode,Listening/dance,Source,Source type,Source instrument or voice,Location,Date,Original location,Main Region from Appendix B,Subregion from Appendix B,Original tonality,Original tonality directional,Secondary modes,Modulation measures,One_Mode
No094,beregovski094.png,,,No. 094,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,,94,Freylekhs,Freygish,dance,"Pivovarov, M.",recording,-,"Bobrovyi, Kalinindorf, Nikolaev",1936,-,Old Jewish Agricultural Colonies,Kalinindorf,-,-,,All freygish,yes
No095,beregovski095.png,,,No. 095,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,,95,Freylekhs,Freygish,dance,"Dulitsky, B.",recording,Clarinet,Kiev,1935,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",A,Up M2,C minor,10-18,no
No096,beregovski096.png,,,No. 096,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,,96,Freylekhs,Freygish,dance,"Barkagan, G.",transcription,Clarinet,"Kalinindorf, Nikolaev",1936,-,Old Jewish Agricultural Colonies,Kalinindorf,A,Up M2,,All freygish,yes
No097,beregovski097.png,,,No. 097,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,,97,Freylekhs,Freygish,dance,"Slobodskoi, M.",recording,Clarinet,Kiev,1935,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",G,-,C minor,10-17,no
No098,beregovski098.png,,,No. 098,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,,98,Freylekhs,Freygish,dance,Anonymous,transcription,-,-,-,-,Unknown,-,D,Up P5,,All freygish,yes
No099,beregovski099.png,,,No. 099,Beregovski (trans.); Malin (encoded),,Hopke,Freygish,,,,2001,,dance,image/png,,,,99,Hopke,Freygish,dance,"Makonovetsky, A. E. ",transcription (Makonovetsky),Violin,Khabno,-,-,Kiev,Khabno,C,Up P4,,All freygish,yes
No100,beregovski100.png,,,No. 100,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,,100,Freylekhs,Freygish,dance,"Mesman, V.",transcription,-,-,-,-,Unknown,-,G,-,,All freygish,yes
No101,beregovski101.png,,,No. 101,Beregovski (trans.); Malin (encoded),,,,,,,N/A,,N/A,image/png,,,,101,Skotshne,Minor,dance,Anonymous,transcription,-,-,-,-,Kiev,"Khabno, Korosten', and Radomysl'",-,-,G major,1-9,no
No102,beregovski102.png,,,No. 102,Beregovski (trans.); Malin (encoded),,Hopke,Freygish,,,,2001,,dance,image/png,,,,102,Hopke,Freygish,dance,"Makonovetsky, A. E. ",transcription (Makonovetsky),Violin,Khabno,-,-,Kiev,Khabno,A,Up M2,F major; C major; D freygish,10-15; 19-25; 26-28,no
No103,beregovski103.png,,,No. 103,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,,103,Freylekhs,Freygish,dance,"Svitelsky, F.",transcription,Violin,Kiev,1933,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",-,-,F major,5-10; 13-24,no
No104,beregovski104.png,,,No. 104,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,,104,Freylekhs,Freygish,dance,"Sakhnovsky, B.",transcription,Violin,-,-,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",A,Up M2,C minor; Bb major,11-12; 13-16,no
No105,beregovski105.png,,,No. 105,Beregovski (trans.); Malin (encoded),,Skotshne,Altered Dorian,,,,2001,,dance,image/png,,,,105,Skotshne,Altered Dorian,dance,"Ziserman, V.",transcription,Bass,Vinnitsa,1932,-,Vinnitsa,-,G,-,,All altered Dorian,yes
No106,beregovski106.png,,,No. 106,Beregovski (trans.); Malin (encoded),,Freylekhs,Altered Dorian,,,,2001,,dance,image/png,,,,106,Freylekhs,Altered Dorian,dance,"Cherniavsky, B.",recording,Clarinet,Belaia Tserkov,1935,-,Kiev,Belaia Tserkov,G,-,,All altered Dorian,yes
No107,beregovski107.png,,,No. 107,Beregovski (trans.); Malin (encoded),,Karahod,Altered Dorian,,,,2001,,dance,image/png,,,,107,Karahod,Altered Dorian,dance,"Makonovetsky, A. E. ",transcription (Makonovetsky),Violin,Khabno,-,-,Kiev,Khabno,C,Up P4,,All altered Dorian,yes
No108,beregovski108.png,,,No. 108,Beregovski (trans.); Malin (encoded),,Freylekhs,Altered Dorian,,,,2001,,dance,image/png,,,,108,Freylekhs,Altered Dorian,dance,"Cherniavsky, B.",recording,Clarinet,Belaia Tserkov,1935,-,Kiev,Belaia Tserkov,B,Up M3,,All altered Dorian,yes
No109,beregovski109.png,,,No. 109,Beregovski (trans.); Malin (encoded),,Skotshne,Altered Dorian,,,,2001,,dance,image/png,,,,109,Skotshne,Altered Dorian,dance,"Dulitsky, B.",recording,Clarinet,Kiev,1935,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",B,Up M3,,All altered Dorian,yes
No110,beregovski110.png,,,No. 110,Beregovski (trans.); Malin (encoded),,Freylekhs,Altered Dorian,,,,2001,,dance,image/png,,,,110,Freylekhs,Altered Dorian,dance,"Barkagan, G.",transcription,Clarinet,"Kalinindorf, Nikolaev",1936,-,Old Jewish Agricultural Colonies,Kalinindorf,E,Up M6,,All altered Dorian,yes
No111,beregovski111.png,,,No. 111,Beregovski (trans.); Malin (encoded),,Freylekhs,Altered Dorian,,,,2001,,dance,image/png,,,,111,Freylekhs,Altered Dorian,dance,"Cherniavsky, B.",recording,Clarinet,Belaia Tserkov,1935,-,Kiev,Belaia Tserkov,G,-,Bb major,19-28,no
No112,beregovski112.png,,,No. 112,Beregovski (trans.); Malin (encoded),,Freylekhs,Altered Dorian,,,,2001,,dance,image/png,,,,112,Freylekhs,Altered Dorian,dance,"Makonovetsky, A. E. ",transcription (Makonovetsky),Violin,Khabno,-,-,Kiev,Khabno,G,-,G major,10-17,no
No113,beregovski113.png,,,No. 113,Beregovski (trans.); Malin (encoded),,Skotshne,Altered Dorian,,,,2001,,dance,image/png,,,,113,Skotshne,Altered Dorian,dance,"Cherniavsky, B.",recording,Clarinet,Belaia Tserkov,1935,-,Kiev,Belaia Tserkov,G,-,G major,25-48,no
No114,beregovski114.png,,,No. 114,Beregovski (trans.); Malin (encoded),,Freylekhs,Altered Dorian,,,,2001,,dance,image/png,,,,114,Freylekhs,Altered Dorian,dance,"Makonovetsky, A. E. ",transcription (Makonovetsky),Violin,Khabno,-,-,Kiev,Khabno,G,-,G minor; G major; G minor,1-6; 40-51; 53-60,no
No115,beregovski115.png,,,No. 115,Beregovski (trans.); Malin (encoded),,Skotshne,Altered Dorian,,,,2001,,dance,image/png,,,,115,Skotshne,Altered Dorian,dance,"Sakhnovsky, B.",transcription,Violin,-,-,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",C,Up P4,G major,22-27,no
No116,beregovski116.png,,,No. 116,Beregovski (trans.); Malin (encoded),,Skotshne,Altered Dorian,,,,2001,,dance,image/png,,,,116,Skotshne,Altered Dorian,dance,"Makonovetsky, A. E. ",transcription (Makonovetsky),Violin,Khabno,-,-,Kiev,Khabno,G,-,G major,18-23,no
No117,beregovski117.png,,,No. 117,Beregovski (trans.); Malin (encoded),,Freylekhs,Altered Dorian,,,,2001,,dance,image/png,,,,117,Freylekhs,Altered Dorian,dance,"Gershfeld, G.",transcription,Violin,Tiraspol,1937,-,Kiev,Berdichev,D,Up P5,G major,9-13,no
No118,beregovski118.png,,,No. 118,Beregovski (trans.); Malin (encoded),,Freylekhs,Altered Dorian,,,,2001,,dance,image/png,,,,118,Freylekhs,Altered Dorian,dance,"Berezin, Ia.",transcription,Clarinet,Tiraspol,1937,-,Various Cities and Towns,-,C,Up P4,,All altered Dorian,yes
No119,beregovski119.png,,,No. 119,Beregovski (trans.); Malin (encoded),,Freylekhs,Altered Dorian,,,,2001,,dance,image/png,,,,119,Freylekhs,Altered Dorian,dance,"Barkagan, G.",transcription,Clarinet,"Kalinindorf, Nikolaev",1936,-,Old Jewish Agricultural Colonies,Kalinindorf,-,-,G major,14-22,no
No120,beregovski120.png,,,No. 120,Beregovski (trans.); Malin (encoded),,Freylekhs,Altered Dorian,,,,2001,,dance,image/png,,,,120,Freylekhs,Altered Dorian,dance,"Barkagan, G.",transcription,Clarinet,"Kalinindorf, Nikolaev",1936,-,Old Jewish Agricultural Colonies,Kalinindorf,D,Up P5,,All altered Dorian,yes
No121,beregovski121.png,,,No. 121,Beregovski (trans.); Malin (encoded),,Freylekhs (Karahod),Minor,,,,2015,,dance,image/png,,,,121,Freylekhs (Karahod),Minor,dance,"Rabinovich, I. S.",transcription,Piano,Kiev,1937,"Pereiaslav, Poltava",Various Cities and Towns,-,-,-,Bb major,1-6; 13-22,no
No122,beregovski122.png,,,No. 122,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,,122,Freylekhs,Minor,dance,Knaifel,transcription,Bass,Vinnitsa,1937,-,Vinnitsa,-,D,Up P5,,All minor,yes
No123,beregovski123.png,,,No. 123,Beregovski (trans.); Malin (encoded),,Skotshne,Minor,,,,2015,,dance,image/png,,,,123,Skotshne,Minor,dance,"Ziserman, V.",transcription,Bass,Vinnitsa,1932,-,Vinnitsa,-,D,Up P5,,All minor,yes
No124,beregovski124.png,,,No. 124,Beregovski (trans.); Malin (encoded),,Skotshne,Minor,,,,2015,,dance,image/png,,,,124,Skotshne,Minor,dance,Anonymous,transcription,-,-,-,-,Unknown,-,A,Up M2,C minor;  Bb major,21-28; 29-36,no
No125,beregovski125.png,,,No. 125,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,,125,Freylekhs,Minor,dance,"Svitelsky, F.",transcription,Violin,Kiev,1933,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",-,-,,All minor,yes
No126,beregovski126.png,,,No. 126,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2015,,dance,image/png,,,,126,Freylekhs,Freygish,dance,"Pulver, L. M.",recording,Violin,Kiev,1929,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",D,Down P4,C altered Dorian,1-9,no
No127,beregovski127.png,,,No. 127,Beregovski (trans.); Malin (encoded),,Freylekh,Minor,,,,2015,,dance,image/png,,,,127,Freylekh,Minor,dance,Mazover,recording,Voice,Kalnindorf,1936,-,Old Jewish Agricultural Colonies,Kalinindorf,-,-,Bb major,10-18,no
No128,beregovski128.png,,,No. 128,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,,128,Freylekhs,Minor,dance,"Dulitsky, B.",recording,Clarinet,Kiev,1935,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",G,-,,All minor,yes
No129,beregovski129.png,,,No. 129,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,,129,Freylekhs,Minor,dance,Anonymous,transcription,-,-,-,-,Unknown,-,D,Up P5,Bb major,17-30,no
No130,beregovski130.png,,,No. 130,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,,130,Freylekhs,Minor,dance,"Barkagan, G.",transcription,Clarinet,"Kalinindorf, Nikolaev",1936,-,Old Jewish Agricultural Colonies,Kalinindorf,A,Up M2,,All minor,yes
No131,beregovski131.png,,,No. 131,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,,131,Freylekhs,Minor,dance,"Dulitsky, B.",recording,Clarinet,Kiev,1935,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",G,-,G altered Dorian,14-21,no
No132,beregovski132.png,,,No. 132,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,,132,Freylekhs,Minor,dance,"Gershfeld, G.",transcription,Violin,Tiraspol,1937,-,Kiev,Berdichev,A,Up M2,,All minor,yes
No133,beregovski133.png,,,No. 133,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,,133,Freylekhs,Minor,dance,Anonymous,transcription,-,-,-,-,Unknown,-,D,Up P5,Bb major,1-8,no
No134,beregovski134.png,,,No. 134,Beregovski (trans.); Malin (encoded),,Skotshne,Minor,,,,2015,,dance,image/png,,,,134,Skotshne,Minor,dance,"Slobodskoi, M.",recording,Clarinet,Kiev,1935,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",C,Up P4,,All minor,yes
No135,beregovski135.png,,,No. 135,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,,135,Freylekhs,Minor,dance,"Cherniavsky, B.",recording,Clarinet,Belaia Tserkov,1935,-,Kiev,Belaia Tserkov,Bb,Up m3,G freygish,19-48,no
No136,beregovski136.png,,,No. 136,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,,136,Freylekhs,Minor,dance,"Makonovetsky, A. E. ",transcription (Makonovetsky),Violin,Khabno,-,-,Kiev,Khabno,-,-,,All minor,yes
No137,beregovski137.png,,,No. 137,Beregovski (trans.); Malin (encoded),,Vol'ner (Freylekhs),Minor,,,,2015,,dance,image/png,,,,137,Vol'ner (Freylekhs),Minor,dance,"Makonovetsky, A. E. ",transcription (Makonovetsky),Violin,Khabno,-,-,Kiev,Khabno,-,-,,All minor,yes
No138,beregovski138.png,,,No. 138,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,,138,Freylekhs,Minor,dance,"Makonovetsky, A. E. ",transcription (Makonovetsky),Violin,Khabno,-,-,Kiev,Khabno,-,-,,All minor,yes
No139,beregovski139.png,,,No. 139,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,,139,Freylekhs,Minor,dance,"Barkagan, G.",transcription,Clarinet,"Kalinindorf, Nikolaev",1935,-,Old Jewish Agricultural Colonies,Kalinindorf,G,-,,All minor,yes
No140,beregovski140.png,,,No. 140,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,,140,Freylekhs,Minor,dance,"Sakhnovsky, B.",transcription,Violin,-,-,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",D,Up P5,,All minor,yes
No141,beregovski141.png,,,No. 141,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,,141,Freylekhs,Minor,dance,"Makonovetsky, A. E. ",transcription (Makonovetsky),Violin,Khabno,-,-,Kiev,Khabno,D,Up P5,,All minor,yes
No142,beregovski142.png,,,No. 142,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,,142,Freylekhs,Minor,dance,Anonymous,-,-,-,-,-,Unknown,-,A,Up M2,,All minor,yes
No143,beregovski143.png,,,No. 143,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,,143,Freylekhs,Minor,dance,"Berezin, Ia.",transcription,Clarinet,Tiraspol,1936,-,Various Cities and Towns,-,G,-,,All minor,yes
No144,beregovski144.png,,,No. 144,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,,144,Freylekhs,Minor,dance,"Barkagan, G.",transcription,Clarinet,"Kalinindorf, Nikolaev",1935,-,Old Jewish Agricultural Colonies,Kalinindorf,D,Up P5,Bb major,10-17,no
No145,beregovski145.png,,,No. 145,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,,145,Freylekhs,Minor,dance,Anonymous,transcription,-,-,-,-,-,-,A,Up M2,,All minor,yes
No146,beregovski146.png,,,No. 146,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,,146,Freylekhs,Minor,dance,"Gershfeld, G.",transcription,Violin,Tiraspol,1937,-,Kiev,Berdichev,A,Up M2,,All minor,yes
No147,beregovski147.png,,,No. 147,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,,147,Freylekhs,Minor,dance,"Barkagan, G.",transcription,Clarinet,"Kalinindorf, Nikolaev",1935,-,Old Jewish Agricultural Colonies,Kalinindorf,D,Up P5,,All minor,yes
No148,beregovski148.png,,,No. 148,Beregovski (trans.); Malin (encoded),,Freylekhs,Minor,,,,2015,,dance,image/png,,,,148,Freylekhs,Minor,dance,"Gershfeld, G.",transcription,Violin,Tiraspol,1937,-,Kiev,Berdichev,G,-,,All minor,yes
No149,beregovski149.png,,,No. 149,Beregovski (trans.); Malin (encoded),,Skotshne,Minor,,,,2015,,dance,image/png,,,,149,Skotshne,Minor,dance,"Ziserman, V.",transcription,Bass,Vinnitsa,1932,-,Vinnitsa,-,D,Up P5,,All minor,yes
No150,beregovski150.png,,,No. 150,Beregovski (trans.); Malin (encoded),,Freylekhs,Major,,,,2015,,dance,image/png,,,,150,Freylekhs,Major,dance,"Dulitsky, B.",recording,Clarinet,Kiev,1935,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",-,-,G altered Dorian,9-27,no
No151,beregovski151.png,,,No. 151,Beregovski (trans.); Malin (encoded),,Freylekhs,Major,,,,2015,,dance,image/png,,,,151,Freylekhs,Major,dance,"Dulitsky, B.",recording,Clarinet,Kiev,1935,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",-,-,G altered Dorian,9-25,no
No152,beregovski152.png,,,No. 152,Beregovski (trans.); Malin (encoded),,Skotshne,Major,,,,2015,,dance,image/png,,,,152,Skotshne,Major,dance,"Magaziner, Ia. S.",transcription,Violin,Kiev,1936,"Zvenigorodka, Kiev",Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",-,-,G altered Dorian,10-17,no
No153,beregovski153.png,,,No. 153,Beregovski (trans.); Malin (encoded),,Freylekhs,Major,,,,2015,,dance,image/png,,,,153,Freylekhs,Major,dance,"Slobodskoi, M.",recording,Clarinet,Kiev,1935,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",G,-,G altered Dorian,5-8,no
No154,beregovski154.png,,,No. 154,Beregovski (trans.); Malin (encoded),,Freylekhs,Major,,,,2015,,dance,image/png,,,,154,Freylekhs,Major,dance,"Slobodskoi, M.",recording,Clarinet,Kiev,1935,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",E,Down m3,G altered Dorian; G freygish,10-25; 26-41,no
No155,beregovski155.png,,,No. 155,Beregovski (trans.); Malin (encoded),,Freylekhs,Major (Mixolydian),,,,2015,,dance,image/png,,,,155,Freylekhs,Major,dance,"Berezin, Ia.",transcription,Clarinet,Tiraspol,1936,-,Various Cities and Towns,-,-,-,G altered Dorian,11-24,no
No156,beregovski156.png,,,No. 156,Beregovski (trans.); Malin (encoded),,Freylekhs,Major,,,,2015,,dance,image/png,,,,156,Freylekhs,Major,dance,"Cherniavsky, B.",recording,Clarinet,Belaia Tserkov,1936,-,Kiev,Belaia Tserkov,-,-,G altered Dorian,19-29,no
No157,beregovski157.png,,,No. 157,Beregovski (trans.); Malin (encoded),,Hopke,Major,,,,2015,,dance,image/png,,,,157,Hopke,Major,dance,"Makonovetsky, A. E. ",transcription (Makonovetsky),Violin,Khabno,-,-,Kiev,Khabno,D,Up P5,,All major,yes
No158,beregovski158.png,,,No. 158,Beregovski (trans.); Malin (encoded),,Freylekhs,Major,,,,2015,,dance,image/png,,,,158,Freylekhs,Major,dance,"Barkagan, G.",transcription,Clarinet,"Kalinindorf, Nikolaev",-,-,Old Jewish Agricultural Colonies,Kalinindorf,D,Up P5,C major,17-24,no
No159,beregovski159.png,,,No. 159,Beregovski (trans.); Malin (encoded),,Freylekhs,Major,,,,2015,,dance,image/png,,,,159,Freylekhs,Major,dance,"Makonovetsky, A. E. ",transcription (Makonovetsky),Violin,Khabno,-,-,Kiev,Khabno,,,,All major,yes
No160,beregovski160.png,,,No. 160,Beregovski (trans.); Malin (encoded),,Skotshne,Major,,,,2015,,dance,image/png,,,,160,Skotshne,Major,dance,Anonymous,transcription,-,-,-,-,Unknown,-,-,-,,All major,yes
No161,beregovski161.png,,,No. 161,Beregovski (trans.); Malin (encoded),,Freylekhs,Major,,,,2015,,dance,image/png,,,,161,Freylekhs,Major,dance,"Barkagan, G.",transcription,Clarinet,"Kalinindorf, Nikolaev",-,-,Old Jewish Agricultural Colonies,Kalinindorf,D,Up P5,,All major,yes
No162,beregovski162.png,,,No. 162,Beregovski (trans.); Malin (encoded),,Hopke,Major,,,,2015,,dance,image/png,,,,162,Hopke,Major,dance,"Makonovetsky, A. E. ",transcription (Makonovetsky),Violin,Khabno,-,-,Kiev,Khabno,G,-,,All major,yes
No163,beregovski163.png,,,No. 163,Beregovski (trans.); Malin (encoded),,Skotshne,Major,,,,2015,,dance,image/png,,,,163,Skotshne,Major,dance,"Cherniavsky, B.",recording,Clarinet,Belaia Tserkov,1936,-,Kiev,Belaia Tserkov,-,-,,All major,yes
No164,beregovski164.png,,,No. 164,Beregovski (trans.); Malin (encoded),,Skotshne,Major,,,,2015,,dance,image/png,,,,164,Skotshne,Major,dance,"Shteingart, Ia.",recording,Clarinet,"Bogopol, Podolia",1913,-,Podolia,Bogopol,-,-,,All major,yes
No165,beregovski165.png,,,No. 165,Beregovski (trans.); Malin (encoded),,Freylekhs,Major,,,,2015,,dance,image/png,,,,165,Freylekhs,Major,dance,"Gershfeld, G.",transcription,Violin,Tiraspol,1937,-,-,-,D,Up P5,D major,9-16,no
No166,beregovski166.png,,,No. 166,Beregovski (trans.); Malin (encoded),,Freylekhs,Major,,,,2015,,dance,image/png,,,,166,Freylekhs,Major,dance,"Marshak, A.",recording,Voice,Odessa,1930,-,Various Cities and Towns,Odessa,-,-,g minor,6-21,no
No167,beregovski167.png,,,No. 167,Beregovski (trans.); Malin (encoded),,Freylekhs,Major,,,,2015,,dance,image/png,,,,167,Freylekhs,Major,dance,"Barkagan, G.",transcription,Clarinet,"Kalinindorf, Nikolaev",-,-,Old Jewish Agricultural Colonies,Kalinindorf,C,Up P4,g minor,9-12,no
No168,beregovski168.png,,,No. 168,Beregovski (trans.); Malin (encoded),,Freylekhs,Major (Mixolydian),,,,2015,,dance,image/png,,,,168,Freylekhs,Major,dance,"Sakhnovsky, B.",transcription,Violin,-,-,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",C,Up P4,,All major,yes
No169,beregovski169.png,,,No. 169,Beregovski (trans.); Malin (encoded),,Freylekhs,Major (Mixolydian),,,,2015,,dance,image/png,,,,169,Freylekhs,Major,dance,"Barkagan, G.",transcription,Clarinet,"Kalinindorf, Nikolaev",-,-,Old Jewish Agricultural Colonies,Kalinindorf,D,Up P5,,All major,yes
No170,beregovski170.png,,,No. 170,Beregovski (trans.); Malin (encoded),,Freylekhs,Major (Mixolydian),,,,2015,,dance,image/png,,,,170,Freylekhs,Major,dance,"Sakhnovsky, B.",transcription,Violin,-,-,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",D,Up P5,,All major,yes
No171,beregovski171.png,,,No. 171,Beregovski (trans.); Malin (encoded),,Freylekhs,Major (Mixolydian),,,,2015,,dance,image/png,,,,171,Freylekhs,Major,dance,"Barkagan, G.",transcription,Clarinet,"Kalinindorf, Nikolaev",-,-,Old Jewish Agricultural Colonies,Kalinindorf,-,-,,All major,yes
No172,beregovski172.png,,,No. 172,Beregovski (trans.); Malin (encoded),,Freylekhs,Major (Mixolydian),,,,2015,,dance,image/png,,,,172,Freylekhs,Major,dance,"Barkagan, G.",transcription,Clarinet,"Kalinindorf, Nikolaev",-,-,Old Jewish Agricultural Colonies,Kalinindorf,D,Up P5,,All major,yes
No173,beregovski173.png,,,No. 173,Beregovski (trans.); Malin (encoded),,Freylekhs,Major (Mixolydian),,,,2015,,dance,image/png,,,,173,Freylekhs,Major,dance,"Barkagan, G.",transcription,Clarinet,"Kalinindorf, Nikolaev",-,-,Old Jewish Agricultural Colonies,Kalinindorf,-,-,,All major,yes
No174,beregovski174.png,,,No. 174,Beregovski (trans.); Malin (encoded),,Freylekhs,Major (Mixolydian),,,,2015,,dance,image/png,,,,174,Freylekhs,Major,dance,"Rabinovich, M. I.",transcription,Violin,Kiev,1937,-,Kiev,Berdichev,-,-,,All major,yes
No175,beregovski175.png,,,No. 175,Beregovski (trans.); Malin (encoded),,Freylekhs,Major,,,,2015,,dance,image/png,,,,175,Freylekhs,Major,dance,"Barkagan, G.",transcription,Clarinet,"Kalinindorf, Nikolaev",-,-,Old Jewish Agricultural Colonies,Kalinindorf,-,-,G altered Dorian,9-21,no
No176,beregovski176.png,,,No. 176,Beregovski (trans.); Malin (encoded),,Skotshne,Major,,,,2015,,dance,image/png,,,,176,Skotshne,Major,dance,"Cherniavsky, B.",recording,Clarinet,Belaia Tserkov,1936,-,Kiev,Belaia Tserkov,A,Up M2,,All major,yes
No177,beregovski177.png,,,No. 177,Beregovski (trans.); Malin (encoded),,Sher,Freygish,,,,2015,,dance,image/png,,,,177,Sher,Freygish,dance,"Ozyriansky, M.",recording,Voice,"Bobrovyi Kut, Kalinindorf, Nikolaev",1936,Kalinindorf,Old Jewish Agricultural Colonies,Kalinindorf,-,-,,All freygish,yes
No178,beregovski178.png,,,No. 178,Beregovski (trans.); Malin (encoded),,Sher,Freygish,,,,2015,,dance,image/png,,,,178,Sher,Freygish,dance,"Liasko, M.",transcription,-,"Fraidorf, Crimea",1937,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",-,-,,All freygish,yes
No179,beregovski179.png,,,No. 179,Beregovski (trans.); Malin (encoded),,Sher,Freygish,,,,2015,,dance,image/png,,,,179,Sher,Freygish,dance,"Dulitsky, B.",recording,Clarinet,Kiev,1935,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",G,-,,All freygish,yes
No180,beregovski180.png,,,No. 180,Beregovski (trans.); Malin (encoded),,Sher,Freygish,,,,2015,,dance,image/png,,,,180,Sher,Freygish,dance,"Mesman, V.",transcription,-,-,1912,-,Unknown,-,C,Up P4,C major; D: freygish,17-28; 29-32,no
No181,beregovski181.png,,,No. 181,Beregovski (trans.); Malin (encoded),,Sher,Freygish,,,,2015,,dance,image/png,,,,181,Sher,Freygish,dance,"Gulerman, Z.",recording,Flute,Kiev,1935,-,Kiev,"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov",-,-,F major,41-48,no
No182,beregovski182.png,,,No. 182,Beregovski (trans.); Malin (encoded),,Sher,Freygish,,,,2015,,dance,image/png,,,,182,Sher,Freygish,dance,"Ozyriansky, M.",recording,Voice,"Bobrovyi Kut, Kalinindorf, Nikolaev",1936,Kalinindorf,Old Jewish Agricultural Colonies,Kalinindorf,-,-,C minor,9-16,no
